index,customer_city,customer_state,geo_lat,geo_lng,avg_delivery_time,total_payment_value,avg_payment_value,max_payment_value,cnt_payment_value,avg_delivery_time_formatted,delivery_time_days
1154,Diadema,SP,-23.688566887564882,-46.6122805140884,8 days 13:34:35.539855072,33305.0,120.67,1767.1,276,8 days,8
1635,Indaiatuba,SP,-23.09660433424954,-47.2149748203353,8 days 11:49:13.018248175,41313.44,150.78,1223.06,274,8 days,8
3366,Sao caetano do sul,SP,-23.62693598441599,-46.565384962430834,8 days 02:22:54.430147058,36430.82,133.94,1221.39,272,8 days,8
3766,Teresina,PI,-5.085270110837754,-42.783061464804824,20 days 21:58:51.576208178,58673.64,218.12,1989.75,269,20 days,20
431,Bauru,SP,-22.323049645437326,-49.066619006487436,9 days 04:59:11.338403041,44292.81,168.41,2064.88,263,9 days,9
3748,Taubate,SP,-23.02563613165075,-45.564522094071,10 days 04:32:53.057692307,33717.73,129.68,1107.96,260,10 days,10
2198,Maringa,PR,-23.41785094997634,-51.933358732219666,12 days 04:38:21.100000,44263.88,170.25,2713.36,260,12 days,12
1953,Joinville,SC,-26.297318554294186,-48.84464217394802,15 days 05:07:35.723735408,40508.69,157.62,3005.06,257,15 days,15
1213,Duque de caxias,RJ,-22.706504638372245,-43.28856533522335,15 days 08:23:03.824000,38406.23,153.62,1424.0,250,15 days,15
1947,Joao pessoa,PB,-7.1332518723351175,-34.849887255517864,20 days 11:31:07.857142857,61117.81,249.46,4681.78,245,20 days,20
1116,Cuiaba,MT,-15.597769244125894,-56.073382712797134,18 days 08:09:24.666666666,45870.56,188.77,2124.78,243,18 days,18
1075,Cotia,SP,-23.6124856633735,-46.910172327872566,7 days 04:51:44.363636363,33665.27,139.11,1338.51,242,7 days,7
2110,Maceio,AL,-9.62376628538116,-35.73224579656877,25 days 16:49:49.300847457,51644.96,218.83,1658.81,236,25 days,25
3367,Sao carlos,SP,-22.11838074275249,-48.00154842809734,10 days 01:34:20.234042553,34390.36,146.34,1006.44,235,10 days,10
2759,Petropolis,RJ,-22.477721676146288,-43.17118865194025,15 days 04:56:56.482905983,38519.65,164.61,1381.83,234,15 days,15
726,Campos dos goytacazes,RJ,-21.765331227114483,-41.324518337494126,14 days 20:36:30.814655172,37761.24,162.76,2168.6,232,14 days,14
3693,Suzano,SP,-23.549312258230586,-46.30869562010819,8 days 02:03:40.586956521,28159.46,122.43,626.48,230,8 days,8
2099,Macae,RJ,-22.377476588999752,-41.784674021438455,17 days 06:39:51.833333333,36583.22,160.45,1058.78,228,17 days,17
4020,Volta redonda,RJ,-22.50955393204522,-44.100260750914735,16 days 12:54:34.709251101,38606.53,170.07,1414.7,227,16 days,16
886,Caxias do sul,RS,-29.16412351496567,-51.181568858415595,15 days 19:11:42.590909091,41558.68,188.9,2455.12,220,15 days,15
1502,Guaruja,SP,-23.97888943685692,-46.25797247717978,8 days 12:35:15.714285714,32647.07,150.45,2467.33,217,8 days,8
149,Americana,SP,-22.740816291609143,-47.32636357923742,7 days 19:28:04.467592592,28142.82,130.29,987.8,216,7 days,7
223,Aracaju,SE,-10.940529130478968,-37.0672779467405,20 days 17:04:38.061032863,42347.44,198.81,1729.98,213,20 days,20
2339,Montes claros,MG,-16.728367733929733,-43.861326724263144,11 days 02:04:01.062801932,30722.4,148.42,1242.57,207,11 days,11
758,Canoas,RS,-29.917550969296663,-51.174119562303325,16 days 22:43:04.600000,31602.36,154.16,1160.77,205,16 days,16
2394,Natal,RN,-5.816478055900028,-35.219244814191754,18 days 06:54:19.492610837,42625.1,209.98,1821.82,203,18 days,18
462,Betim,MG,-19.95370593085974,-44.16679460532326,12 days 02:01:15.255102040,32101.51,163.78,1804.05,196,12 days,12
